
11-02-2018 14.40.31.680 - I: 	Loaded bot ..\Reference Bots\StimaBot
11-02-2018 14.40.31.686 - I: 	Loaded bot ..\Reference Bots\EnemyBot
11-02-2018 14.40.31.686 - I: 	Registered player mldBOT
11-02-2018 14.40.31.686 - I: 	Registered player vsBOT
11-02-2018 14.40.31.709 - I: 		OK!
11-02-2018 14.40.33.139 - I: 	Added Command PlaceShipCommand for Player mldBOT
11-02-2018 14.40.33.511 - I: 	Added Command PlaceShipCommand for Player vsBOT
11-02-2018 14.40.33.513 - D: 	Beginning round processing
11-02-2018 14.40.33.534 - D: 	Processing Player Commands
11-02-2018 14.40.33.563 - D: 	Killing off players who have no ships left
11-02-2018 14.40.33.563 - D: 	Round processing complete
