
11-02-2018 15.01.18.058 - I: 	Loaded bot ..\Reference Bots\upiBOT
11-02-2018 15.01.18.063 - I: 	Loaded bot ..\Reference Bots\EnemyBot
11-02-2018 15.01.18.063 - I: 	Registered player upiBOT
11-02-2018 15.01.18.063 - I: 	Registered player vsBOT
11-02-2018 15.01.18.105 - I: 		OK!
11-02-2018 15.01.18.649 - I: 	Added Command PlaceShipCommand for Player upiBOT
11-02-2018 15.01.18.991 - I: 	Added Command PlaceShipCommand for Player vsBOT
11-02-2018 15.01.18.994 - D: 	Beginning round processing
11-02-2018 15.01.18.998 - D: 	Processing Player Commands
11-02-2018 15.01.19.010 - D: 	Killing off players who have no ships left
11-02-2018 15.01.19.010 - D: 	Round processing complete
