
13-02-2018 10:31:18:299 - I: 	Loaded bot ..\Reference Bots\botBaru
13-02-2018 10:31:18:314 - I: 	Loaded bot ..\Reference Bots\Python3
13-02-2018 10:31:18:314 - I: 	Registered player cisituBOT
13-02-2018 10:31:18:314 - I: 	Registered player mldBOT
13-02-2018 10:31:18:336 - I: 		OK!
13-02-2018 10:31:18:675 - I: 	Added Command PlaceShipCommand for Player cisituBOT
13-02-2018 10:31:18:829 - I: 	Added Command DoNothingCommand for Player mldBOT
13-02-2018 10:31:18:829 - D: 	Beginning round processing
13-02-2018 10:31:18:829 - D: 	Processing Player Commands
13-02-2018 10:31:18:844 - E: 	Failed to process command DoNothingCommand for player mldBOTGameEngine.Exceptions.InvalidCommandException: There was a problem during the placement of player's mldBOT ships (DoNothing), the round will be played over
   at GameEngine.Engine.GameRoundProcessor.ProcessPlayerCommands() in C:\Development\Entelect Challenge\2017-Battleships\GameEngine\Battleships\GameEngine\Engine\GameRoundProcessor.cs:line 215
