
13-02-2018 10:39:58:759 - I: 	Player Command DoNothingCommand failed because There was a problem during the placement of player's upiBOT ships (DoNothing), the round will be played over
13-02-2018 10:39:58:779 - I: 	The first round has failed due to a bot's ships not all being placed
13-02-2018 10:39:58:898 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-39-57-594\Phase 1 - Round 4\B"
13-02-2018 10:39:58:898 - I: 	Executing process python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-39-57-594\Phase 1 - Round 4\B"
13-02-2018 10:39:58:898 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:39:58:944 - E: 	Output from bot:   File "bot.py", line 42
13-02-2018 10:39:58:944 - E: 	Output from bot:     def aroundHit2(cells) :
13-02-2018 10:39:58:944 - E: 	Output from bot:                           ^
13-02-2018 10:39:58:944 - E: 	Output from bot: IndentationError: unindent does not match any outer indentation level
13-02-2018 10:39:58:944 - E: 	Output from bot: 
13-02-2018 10:39:58:944 - I: 	Output from bot: 
13-02-2018 10:39:58:944 - I: 	Your bots total execution time was 00:00:00.0454013
