
13-02-2018 10:46:01:117 - I: 	Player Command DoNothingCommand failed because There was a problem during the placement of player's dafiBOT ships (DoNothing), the round will be played over
13-02-2018 10:46:01:133 - I: 	The first round has failed due to a bot's ships not all being placed
13-02-2018 10:46:01:155 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-46-00-316\Phase 1 - Round 2\A"
13-02-2018 10:46:01:155 - I: 	Executing process python.exe "bot.py" A "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-46-00-316\Phase 1 - Round 2\A"
13-02-2018 10:46:01:155 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:46:01:202 - E: 	Output from bot:   File "bot.py", line 42
13-02-2018 10:46:01:202 - E: 	Output from bot:     def aroundHit2(cells) :
13-02-2018 10:46:01:202 - E: 	Output from bot:                           ^
13-02-2018 10:46:01:202 - E: 	Output from bot: IndentationError: unindent does not match any outer indentation level
13-02-2018 10:46:01:202 - E: 	Output from bot: 
13-02-2018 10:46:01:202 - I: 	Output from bot: 
13-02-2018 10:46:01:202 - I: 	Your bots total execution time was 00:00:00.0471225
