
13-02-2018 09:56:02:101 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-55-54-109\Phase 2 - Round 33\B"
13-02-2018 09:56:02:101 - I: 	Executing process python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-55-54-109\Phase 2 - Round 33\B"
13-02-2018 09:56:02:117 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:56:02:186 - I: 	Output from bot: data file 5 4 target
13-02-2018 09:56:02:186 - I: 	Output from bot: missed
13-02-2018 09:56:02:186 - I: 	Output from bot: isi stack
13-02-2018 09:56:02:186 - I: 	Output from bot: 5 2
13-02-2018 09:56:02:186 - I: 	Output from bot: 6 3
13-02-2018 09:56:02:186 - I: 	Output from bot: 0 0
13-02-2018 09:56:02:186 - I: 	Output from bot: 0 4
13-02-2018 09:56:02:186 - I: 	Output from bot: 1 5
13-02-2018 09:56:02:186 - I: 	Output from bot: 6 0
13-02-2018 09:56:02:186 - I: 	Output from bot: 2 6
13-02-2018 09:56:02:186 - I: 	Output from bot: 3 7
13-02-2018 09:56:02:186 - I: 	Output from bot: 4 6
13-02-2018 09:56:02:186 - I: 	Output from bot: 5 5
13-02-2018 09:56:02:186 - I: 	Output from bot: current mode : target
13-02-2018 09:56:02:186 - I: 	Output from bot: 
13-02-2018 09:56:02:186 - E: 	Output from bot: 
13-02-2018 09:56:02:186 - I: 	Your bots total execution time was 00:00:00.0826433
